block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l0a_read_bw(GB/s),aic_l0a_write_bw(GB/s),aic_l0b_read_bw(GB/s),aic_l0b_write_bw(GB/s),aic_l0c_read_bw_cube(GB/s),aic_l0c_write_bw_cube(GB/s),aiv_time(us),aiv_total_cycles,
0,cube0,1037.459961,1867428,18.649483,11.189691,74.597931,18.649483,0.000000,22.379381,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1037.166138,1866899,
0,vector1,NA,NA,NA,NA,NA,NA,NA,NA,1037.020020,1866636,
1,cube0,1039.717773,1871492,18.649483,11.189691,74.597931,18.649483,0.000000,22.379381,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1039.351074,1870832,
1,vector1,NA,NA,NA,NA,NA,NA,NA,NA,1038.432251,1869178,
2,cube0,1045.015503,1881028,18.649483,11.189691,74.597931,18.649483,0.000000,22.379381,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1044.834961,1880703,
2,vector1,NA,NA,NA,NA,NA,NA,NA,NA,1044.287720,1879718,
3,cube0,1041.520508,1874737,18.649483,11.189691,74.597931,18.649483,0.000000,22.379381,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1041.351685,1874433,
3,vector1,NA,NA,NA,NA,NA,NA,NA,NA,1041.023926,1873843,
4,cube0,1015.987244,1828777,13.987113,8.392267,55.948452,13.987113,0.000000,16.784534,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1012.011658,1821621,
4,vector1,NA,NA,NA,NA,NA,NA,NA,NA,1015.708313,1828275,
5,cube0,1021.858887,1839346,13.987113,8.392267,55.948452,13.987113,0.000000,16.784534,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1021.604431,1838888,
5,vector1,NA,NA,NA,NA,NA,NA,NA,NA,1021.542236,1838776,
6,cube0,1027.482788,1849469,13.987113,8.392267,55.948452,13.987113,0.000000,16.784534,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1027.200562,1848961,
6,vector1,NA,NA,NA,NA,NA,NA,NA,NA,1026.883911,1848391,
7,cube0,1016.993347,1830588,13.987113,8.392267,55.948452,13.987113,0.000000,16.784534,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1013.635559,1824544,
7,vector1,NA,NA,NA,NA,NA,NA,NA,NA,1016.716125,1830089,
8,cube0,1027.041138,1848674,13.987113,8.392267,55.948452,13.987113,0.000000,16.784534,NA,NA,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1026.760010,1848168,
8,vector1,NA,NA,NA,NA,NA,NA,NA,NA,1026.459473,1847627,
9,cube0,1022.164429,1839896,13.987113,8.392267,55.948452,13.987113,0.000000,16.784534,NA,NA,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1021.867798,1839362,
9,vector1,NA,NA,NA,NA,NA,NA,NA,NA,1020.163879,1836295,
10,cube0,1031.456665,1856622,13.987113,8.392267,55.948452,13.987113,0.000000,16.784534,NA,NA,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1031.106689,1855992,
10,vector1,NA,NA,NA,NA,NA,NA,NA,NA,1030.692261,1855246,
11,cube0,1030.653320,1855176,13.987113,8.392267,55.948452,13.987113,0.000000,16.784534,NA,NA,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1030.134399,1854242,
11,vector1,NA,NA,NA,NA,NA,NA,NA,NA,1029.931152,1853876,
12,cube0,1024.060059,1843308,13.987113,8.392267,55.948452,13.987113,0.000000,16.784534,NA,NA,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1023.513916,1842325,
12,vector1,NA,NA,NA,NA,NA,NA,NA,NA,1023.036682,1841466,
13,cube0,1025.790039,1846422,13.987113,8.392267,55.948452,13.987113,0.000000,16.784534,NA,NA,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1025.280518,1845505,
13,vector1,NA,NA,NA,NA,NA,NA,NA,NA,1025.099487,1845179,
14,cube0,1020.161133,1836290,13.987113,8.392267,55.948452,13.987113,0.000000,16.784534,NA,NA,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1019.844971,1835721,
14,vector1,NA,NA,NA,NA,NA,NA,NA,NA,1019.064453,1834316,
15,cube0,1020.739441,1837331,13.987113,8.392267,55.948452,13.987113,0.000000,16.784534,NA,NA,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1020.390015,1836702,
15,vector1,NA,NA,NA,NA,NA,NA,NA,NA,1020.080017,1836144,
16,cube0,1018.450562,1833211,13.987113,8.392267,55.948452,13.987113,0.000000,16.784534,NA,NA,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1018.105530,1832590,
16,vector1,NA,NA,NA,NA,NA,NA,NA,NA,1017.771118,1831988,
17,cube0,1020.546692,1836984,13.987113,8.392267,55.948452,13.987113,0.000000,16.784534,NA,NA,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1018.963867,1834135,
17,vector1,NA,NA,NA,NA,NA,NA,NA,NA,1020.205017,1836369,
18,cube0,1028.292725,1850927,13.987113,8.392267,55.948452,13.987113,0.000000,16.784534,NA,NA,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1027.733276,1849920,
18,vector1,NA,NA,NA,NA,NA,NA,NA,NA,1027.166626,1848900,
19,cube0,1022.494446,1840490,13.987113,8.392267,55.948452,13.987113,0.000000,16.784534,NA,NA,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1021.425537,1838566,
19,vector1,NA,NA,NA,NA,NA,NA,NA,NA,1021.876648,1839378,
